episode,alpha = 0.9,alpha = 0.7,alpha = 0.5
407.0,85.64768501369237,62.87032524329349,51.65087790568846
408.0,86.10998824091438,61.751397324152066,51.910876190500545
409.0,85.82265084564862,60.47252535855628,53.24869129167564
410.0,85.19194400857559,59.9950900934678,54.31897410647078
411.0,84.22084691200743,59.64045979534897,54.70119374746258
412.0,84.47884145468537,59.139865174432266,54.54465120899606
413.0,87.01675785566589,59.169312141992215,54.659685370360485
414.0,88.06225788293986,60.19909381362615,53.45900503420003
415.0,88.89024093025138,60.4265878936513,51.99001834338396
416.0,89.11324555055987,60.82977678940414,50.46313460671166
417.0,88.8517402164292,61.74066002182866,49.310126816774364
418.0,88.60674625373753,64.14984765539344,47.888373384381644
419.0,88.20303087513659,66.20669122186303,46.595147575136394
420.0,88.50917050449186,68.21112323991646,45.15528770426914
421.0,89.53103112612823,70.02666001649553,43.706420317506016
422.0,89.79530987796169,71.73579044281811,42.621205435903406
423.0,90.29416345691644,72.90801191617113,42.214356406539906
424.0,90.15692177843012,74.80902498360028,42.3803033869996
425.0,90.47349185849826,77.44382225493048,42.04444941115939
426.0,90.71015027767028,79.93426632356437,41.63574070692949
427.0,91.4556565877308,81.67512512802071,40.987191799579314
428.0,92.47152162095631,83.80249813510483,39.981522436033515
429.0,93.42000370051895,85.11188112348071,39.31586948952764
430.0,93.16910763365163,86.46224921929866,39.76142045333319
431.0,93.57430925684169,87.33664629654658,40.96592025320473
432.0,93.92204760328215,88.23328461505722,43.01159446190391
433.0,94.51598508744254,88.64307065641825,44.64019988442067
434.0,94.69732551902618,88.73638871031895,46.565818264752465
435.0,95.80769076237158,88.50541384172456,48.14707786873832
436.0,96.42595554237049,87.8595408140788,49.590932509745926
437.0,96.77980725454492,86.24548926602444,51.692348090374196
438.0,97.234279920321,84.41168057978342,53.24987303802111
439.0,97.85487866949066,82.80519329128178,54.26918391914744
440.0,97.63629436877915,81.22941076770006,55.39261657589838
